2;10002
3;9980
4;9995
5;10029
6;9997
7;9998
8;9999
9;9999
10;10001
11;9999
12;9970
13;10030
14;9971
15;10030
16;9970
17;9999
18;9999
19;10031
20;9969
21;10002
22;10032
23;9998
24;10001
25;9970
26;9999
27;10031
28;9999
29;9999
30;10003
31;10007
32;9991
33;10000
34;10000
35;10000
36;10001
37;10000
38;10002
39;9997
40;10000
41;9969
42;10030
43;10001
44;10001
45;10004
46;9995
47;9970
48;10029
49;9971
50;10030
51;10000
52;10000
53;10000
54;10001
55;9986
56;9985
57;10028
58;10000
59;9969
60;10030
61;9971
62;10032
63;9999
64;9999
65;10000
66;10003
67;9999
68;9997
69;10002
70;9999
71;10000
72;9999
73;10001
74;10000
75;10000
76;9999
77;9972
78;9999
79;10034
80;9965
81;10001
82;10031
83;9998
84;10000
85;10000
86;9970
87;10030
88;10001
89;9969
90;10002
91;9998
92;10001
93;9999
94;10065
95;9936
96;9999
97;10000
98;10001
99;9998
100;10002
101;9999
102;10010
103;9993
104;9998
105;10000
106;10000
107;9999
108;10001
109;10000
110;10000
111;10001
112;10029
113;9970
114;9999
115;10001
116;9999
117;10001
118;10000
119;10000
120;10002
121;10000
122;9997
123;10002
124;10033
125;10736
126;9265
127;9965
128;10003
129;10000
130;10028
131;10005
132;9964
133;10001
134;10001
135;10028
136;9972
137;9998
138;10000
139;9999
140;10038
141;9964
142;9999
143;9999
144;10001
145;10030
146;10002
147;9968
148;10000
149;10068
150;9962
151;9970
152;9999
153;10001
154;10000
155;10034
156;9966
157;9999
158;10032
159;9969
160;10000
161;10000
162;10030
163;9974
164;9996
165;10001
166;9999
167;9999
168;10001
169;10000
170;10000
171;10000
172;9999
173;10001
174;10000
175;10000
176;10000
177;10030
178;9969
179;10001
180;9999
181;10015
182;10017
183;9971
184;10001
185;11815
186;8225
187;9958
188;10032
189;9998
190;10001
191;10001
192;9967
193;10003
194;10028
195;10008
196;9994
197;9996
198;9971
199;9998
200;10001
201;10001
202;10001
203;10000
204;9999
205;9999
206;10002
207;10030
208;10000
209;9973
210;9996
211;10002
212;9998
213;10002
214;10000
215;9998
216;10002
217;9998
218;10002
219;9999
220;9998
221;10003
222;9999
223;10000
224;10002
225;9999
226;10006
227;9992
228;10002
229;9997
230;10003
231;9999
232;10000
233;10000
234;10000
235;9998
236;10002
237;10038
238;9962
239;10000
240;9998
241;10006
242;10814
243;9183
244;10000
245;9998
246;10001
247;9999
248;10000
249;10040
250;9966
251;10024
252;10001
253;10002
254;10003
255;9965
256;10032
257;10033
258;9935
259;10000
260;9999
261;10002
262;9999
263;10001
264;10000
265;9998
266;9999
267;10031
268;9970
269;10000
270;10000
271;10000
272;10000
273;10000
274;10001
275;9999
276;10000
277;10000
278;10002
279;9999
280;9999
281;10001
282;10030
283;9998
284;9971
285;10031
286;9971
287;9999
288;10033
289;9967
290;9998
291;10032
292;9975
293;9994
294;10001
295;10001
296;9999
297;9999
298;10033
299;9969
300;9999
301;9975
302;10025
303;10101
304;9898
305;10030
306;9969
307;10001
308;10033
309;9997
310;10001
311;10001
312;9999
